gid,daynight,attendance,precip,sky,temp,winddir,windspeed
SLN202305020,night,37048,none,sunny,66,torf,21
TBA202305020,night,10325,none,dome,72,unknown,0
TEX202305020,night,23086,none,cloudy,78,fromrf,9
WAS202305020,night,12504,none,overcast,53,fromlf,2
BOS202305030,night,27963,none,overcast,50,fromcf,4
CHA202305030,night,11468,none,sunny,48,fromlf,9
COL202305030,night,20640,none,cloudy,77,rtol,7
DET202305031,day,11363,none,sunny,50,ltor,14
DET202305032,night,16734,none,cloudy,52,tolf,14
HOU202305030,day,40405,none,dome,73,unknown,0
KCA202305030,night,10362,none,sunny,72,ltor,3
LAN202305030,day,36539,none,cloudy,64,torf,7
MIA202305030,night,10428,none,dome,72,unknown,0
NYA202305030,night,36060,drizzle,overcast,53,rtol,8
OAK202305030,night,2685,none,overcast,53,torf,8
SDN202305030,day,30531,none,cloudy,63,ltor,9
SLN202305030,night,42148,none,sunny,68,torf,9
TBA202305030,night,15247,none,dome,72,unknown,0
TEX202305030,day,21427,none,cloudy,79,fromrf,10
WAS202305030,night,15903,none,cloudy,54,ltor,11
BOS202305040,night,30173,none,cloudy,47,fromcf,3
CHA202305040,day,14650,none,sunny,63,fromlf,4
COL202305040,day,30647,none,cloudy,70,tocf,15
DET202305040,day,18369,none,cloudy,59,tocf,5
KCA202305040,day,11514,none,overcast,72,rtol,8
MIA202305040,day,8295,none,dome,72,unknown,0
OAK202305040,day,13025,none,cloudy,59,torf,7
SLN202305040,day,40508,none,sunny,72,fromrf,5
TBA202305040,day,12418,none,dome,72,unknown,0
WAS202305040,day,18577,none,cloudy,60,fromlf,9
ANA202305050,night,39073,none,cloudy,65,tocf,9
ARI202305050,night,16384,none,cloudy,79,unknown,3
ATL202305050,night,40176,none,overcast,59,ltor,5
CHN202305050,day,31181,none,cloudy,69,tolf,17
CIN202305050,night,23467,none,sunny,75,unknown,8
CLE202305050,night,17849,none,sunny,59,fromrf,8
KCA202305050,night,15966,none,cloudy,76,rtol,10
NYN202305050,night,25854,none,cloudy,55,tolf,4
PHI202305050,night,43322,none,cloudy,59,tocf,6
PIT202305050,night,24810,none,cloudy,67,unknown,5
SDN202305050,night,45116,none,sunny,63,ltor,9
SEA202305050,night,32944,none,dome,51,unknown,0
SFN202305050,night,28614,none,cloudy,55,unknown,12
SLN202305050,night,36359,none,cloudy,70,rtol,12
TBA202305050,night,25007,none,dome,72,unknown,0
ANA202305060,night,37409,none,cloudy,66,rtol,10
ARI202305060,night,27345,none,sunny,85,ltor,9
ATL202305060,night,41454,none,overcast,73,ltor,5
CHN202305060,day,36418,none,overcast,65,tolf,10
CIN202305060,night,25543,none,cloudy,76,fromrf,7
CLE202305060,night,20795,none,cloudy,62,fromcf,13
KCA202305060,night,29549,none,sunny,93,rtol,18
NYN202305060,day,35692,none,sunny,71,fromlf,7
PHI202305060,night,43832,none,cloudy,72,ltor,7
PIT202305060,night,34882,none,cloudy,72,fromlf,3
SDN202305060,night,42402,none,sunny,63,ltor,14
SEA202305060,night,40328,none,cloudy,58,tocf,4
SFN202305060,day,26387,none,cloudy,59,tocf,16
SLN202305060,day,39512,none,overcast,73,rtol,12
TBA202305060,day,27078,none,dome,72,unknown,0
ANA202305070,day,41641,none,cloudy,70,tocf,8
ARI202305070,day,17174,none,dome,75,unknown,0
ATL202305070,day,40800,none,cloudy,73,fromrf,6
CHN202305070,day,38196,none,sunny,77,fromrf,4
CIN202305070,day,20338,none,cloudy,77,rtol,9
CLE202305070,day,17477,none,cloudy,68,tocf,9
KCA202305070,day,12740,none,sunny,86,rtol,15
NYN202305070,day,36501,none,sunny,75,torf,4
PHI202305070,day,44669,none,cloudy,76,tocf,9
PIT202305070,day,21655,none,cloudy,60,tocf,9
SDN202305070,day,43994,none,sunny,67,fromlf,11
SEA202305070,day,42277,none,cloudy,51,unknown,0
SFN202305070,day,34603,none,cloudy,60,tocf,7
SLN202305070,day,44465,none,cloudy,87,torf,8
TBA202305070,day,32142,none,dome,72,unknown,0
ANA202305080,night,26064,none,sunny,69,tocf,8
ARI202305080,night,9071,none,sunny,89,ltor,4
BAL202305080,night,12669,none,cloudy,81,tolf,8
CHN202305080,night,30937,none,cloudy,48,fromlf,13
CLE202305080,night,12509,none,cloudy,55,rtol,6
KCA202305080,night,9814,none,sunny,82,ltor,9
MIL202305080,night,22847,none,dome,64,unknown,0
NYA202305080,night,33011,none,sunny,73,fromrf,9
